CaseNbr	Category	latitude	longitude	time
1000469	SERVICE	34.028700	-118.283530	734179.052083
1000501	SERVICE	34.027210	-118.279660	734181.770833
1000559	SERVICE	34.024333	-118.283966	734186.461806
1000618	SERVICE	34.023890	-118.288746	734190.361111
1000619	SERVICE	34.026672	-118.284165	734191.675000
1000631	SERVICE	34.026684	-118.281777	734192.555556
1000649	SERVICE	34.022334	-118.282518	734193.659722
1000684	SERVICE	34.030130	-118.281160	734195.156250
1000687	SERVICE	34.020289	-118.290330	734185.284722
1000705	SERVICE	34.019896	-118.281609	734196.416667
1000716	SERVICE	34.028379	-118.290316	734197.113889
1000743	SERVICE	34.022181	-118.284466	734199.520833
1000766	SERVICE	34.062052	-118.201433	734200.541667
1000767	BURGLARY	34.019162	-118.285562	734201.666667
1000834	SERVICE	34.027030	-118.279350	734206.416667
1000842	SERVICE	34.021103	-118.281659	734207.122917
1000850	SERVICE	34.060481	-118.204068	734206.708333
1000866	SERVICE	34.020598	-118.286592	734207.520833
1000875	SERVICE	34.027386	-118.283957	734209.284722
1000984	SERVICE	34.024775	-118.287983	734220.625000
1000985	SERVICE	34.023115	-118.284308	734221.371528
1000999	SERVICE	34.062052	-118.201433	734221.791667
1001004	SERVICE	34.019592	-118.282498	734221.895833
1001018	SERVICE	34.031054	-118.287451	734212.000694
1001024	ASSAULT	34.028379	-118.290316	734224.090278
1001061	SERVICE	34.030793	-118.287584	734212.083333
1001082	SERVICE	34.022083	-118.281584	734228.609028
1001087	SERVICE	34.027500	-118.280290	734207.291667
1001092	SERVICE	34.062399	-118.202007	734228.354167
1001095	SERVICE	34.020133	-118.288242	734229.567361
1001097	SERVICE	0.000000	-0.000000	734229.770833
1001110	SERVICE	34.029537	-118.285043	734230.125000
1001125	SERVICE	34.019983	-118.282509	734232.905556
1000484	BURGLARY	34.021103	-118.281659	734180.565278
1000540	BURGLARY	34.016669	-118.281801	734184.422917
1000548	BURGLARY	34.028410	-118.282930	734181.500000
1000592	BURGLARY	34.020289	-118.290330	734189.770833
1000822	BURGLARY	34.018831	-118.289536	734205.583333
1000833	BURGLARY	34.020598	-118.286592	734205.895833
1000937	BURGLARY	34.031301	-118.285165	734217.708333
1001026	BURGLARY	34.021301	-118.288016	734223.909722
1001034	BURGLARY	34.031959	-118.288965	734224.166667
1001215	ROBBERY	34.018303	-118.283409	734239.138194
1001238	BURGLARY	34.024521	-118.283973	734240.711111
1001398	BURGLARY	34.018831	-118.289536	734252.479167
1001400	BURGLARY	34.018831	-118.289536	734252.437500
1001503	SERVICE	34.062425	-118.203742	734259.902778
1001517	BURGLARY	34.020622	-118.288294	734260.166667
1001594	BURGLARY	34.020598	-118.286592	734266.674306
